emp_id,full_name,department_code,job_title,base_salary,annual_bonus,years_of_service,hire_year
3078,Alex Park,D02,Senior,92632,15464,3,2021
3079,Dakota O'Brien,D05,Mid,85745,17555,22,2002
3080,Sage Kim,D07,Junior,52712,2434,13,2011
3081,Riley Tanaka,D02,Senior,118200,8979,23,2001
3082,Hayden Costa,D02,Junior,61159,12666,8,2016
3083,Dakota Li,D03,Senior,105920,5759,24,2000
3084,Casey Santos,D05,Principal,136087,6272,9,2015
3085,Reese Patel,D06,Principal,129784,16303,19,2005
3086,Skyler Costa,D04,Principal,145327,5252,0,2024
3087,Taylor Chen,D02,Junior,54875,5840,3,2021
3088,Casey Tanaka,D04,Junior,61701,4607,3,2021
3089,Taylor Kim,D05,Mid,85438,14452,6,2018
3090,Skyler Kumar,D06,Junior,65339,3561,12,2012
3091,Reese Santos,D08,Director,201996,24215,19,2005
3092,Avery Santos,D06,Mid,64879,5272,17,2007
3093,Riley Ivanov,D07,Director,172834,7068,11,2013
3094,Finley Kumar,D01,Junior,58413,5024,4,2020
3095,Reese O'Brien,D02,Principal,139467,23486,9,2015
3096,Dakota Kumar,D06,Director,201337,34667,23,2001
3097,Taylor Thompson,D06,Lead,110343,4346,5,2019
3098,Sage Tanaka,D07,Lead,138435,18854,11,2013
3099,Cameron Kim,D02,Mid,89521,7872,2,2022
3100,Morgan Ivanov,D01,Senior,98665,14637,18,2006
3101,Dakota Chen,D05,Lead,139596,4707,4,2020
3102,Cameron Ivanov,D05,Mid,70232,9193,4,2020
3103,Alex Thompson,D07,Director,167341,35042,11,2013
3104,Avery Kumar,D04,Lead,129351,16162,9,2015
3105,Casey Rossi,D03,Lead,136071,2377,11,2013
3106,Alex Li,D01,Junior,47039,2541,23,2001
3107,Alex Santos,D04,Director,175717,20126,20,2004
3108,Riley Nguyen,D01,Principal,134423,33111,13,2011
3109,Jordan Ivanov,D08,Senior,114201,594,23,2001
3110,Reese Thompson,D01,Director,146438,9121,12,2012
3111,Jordan Johansson,D03,Senior,105085,18324,4,2020
3112,Cameron O'Brien,D06,Principal,165950,27643,21,2003
3113,Cameron Ivanov,D05,Lead,137315,13359,13,2011
3114,Cameron Muller,D08,Junior,57467,11067,0,2024
3115,Riley Muller,D03,Director,196685,35017,0,2024
3116,Cameron Rossi,D05,Senior,96265,8627,5,2019
3117,Hayden Johansson,D03,Junior,49748,5766,8,2016
3118,Sage Nguyen,D03,Senior,104837,18103,1,2023
3119,Skyler Park,D08,Mid,76878,15248,12,2012
3120,Avery Muller,D06,Senior,119208,20981,2,2022
3121,Skyler Patel,D07,Mid,89265,15894,7,2017
3122,Sage Santos,D03,Junior,60701,1307,15,2009
3123,Finley Park,D05,Lead,116247,201,5,2019
3124,Hayden Rossi,D06,Senior,110785,4670,4,2020
3125,Hayden Ivanov,D03,Lead,143640,16665,14,2010
3126,Rowan Santos,D08,Principal,146797,3601,1,2023
3127,Jordan Santos,D02,Senior,102143,9729,10,2014
3128,Alex Kim,D03,Junior,64708,8861,17,2007
3129,Cameron Chen,D03,Principal,161045,5388,7,2017
3130,Quinn Kumar,D06,Director,202562,48522,24,2000
3131,Alex O'Brien,D04,Mid,88412,21974,6,2018
3132,Skyler Muller,D08,Senior,101669,21062,11,2013
3133,Jordan Santos,D05,Junior,59178,1548,18,2006
3134,Riley Thompson,D07,Senior,112007,23460,10,2014
3135,Hayden Chen,D06,Director,162445,26177,20,2004
3136,Morgan Chen,D08,Junior,51658,7811,10,2014
3137,Alex O'Brien,D07,Director,199594,18616,22,2002
3138,Skyler Tanaka,D06,Senior,97788,8289,8,2016
3139,Taylor Patel,D07,Mid,79579,4591,9,2015
3140,Reese Costa,D08,Junior,61938,10542,3,2021
3141,Cameron Costa,D06,Mid,86278,1158,4,2020
3142,Sage Tanaka,D03,Director,144930,12361,6,2018
3143,Alex Kumar,D08,Director,191702,8121,22,2002
3144,Jordan Nguyen,D03,Junior,52625,4651,4,2020
3145,Avery Kumar,D05,Director,165559,10714,10,2014
3146,Taylor O'Brien,D04,Senior,100105,2828,19,2005
3147,Sage Rossi,D01,Director,179705,8664,15,2009
3148,Quinn Park,D03,Principal,165785,36252,7,2017
3149,Rowan Muller,D08,Senior,99571,21503,6,2018
3150,Rowan Santos,D05,Principal,125149,6840,10,2014
3151,Quinn Tanaka,D02,Principal,158950,1513,1,2023
3152,Taylor Kim,D07,Junior,48110,2043,7,2017
3153,Reese Rossi,D02,Junior,48270,8727,8,2016
3154,Hayden Santos,D03,Lead,118187,1385,5,2019
3155,Dakota Ivanov,D08,Senior,117317,10396,22,2002
3156,Skyler Muller,D01,Director,157376,7889,16,2008
3157,Quinn Kim,D08,Junior,51945,7189,23,2001
3158,Riley Santos,D01,Mid,76362,2275,24,2000
3159,Cameron Patel,D03,Mid,80188,16903,18,2006
3160,Alex Li,D04,Mid,85619,16436,17,2007
3161,Rowan Nguyen,D08,Principal,136997,19774,8,2016
3162,Avery Kim,D08,Principal,140721,34422,15,2009
3163,Avery Nguyen,D03,Junior,63465,10192,5,2019
3164,Riley Rossi,D07,Director,161819,663,12,2012
3165,Cameron Rossi,D01,Junior,58306,10984,23,2001
3166,Rowan O'Brien,D03,Mid,80291,9681,18,2006
3167,Cameron Muller,D06,Senior,108569,5692,8,2016
3168,Hayden Tanaka,D02,Director,192484,33599,4,2020
3169,Dakota Chen,D05,Lead,141650,31863,6,2018
3170,Sage Nguyen,D08,Senior,85616,7803,24,2000
3171,Riley Rossi,D05,Principal,127824,12434,16,2008
3172,Hayden Kim,D04,Mid,85475,16967,3,2021
3173,Hayden Chen,D07,Senior,108271,25522,12,2012
3174,Avery Rossi,D02,Lead,126290,18558,11,2013
3175,Riley Muller,D06,Junior,60027,371,3,2021
3176,Jordan Ivanov,D05,Principal,133843,7656,15,2009
3177,Jordan O'Brien,D04,Lead,136394,15761,8,2016
3178,Finley Nguyen,D04,Principal,127649,12176,17,2007
3179,Taylor Patel,D04,Principal,144943,10807,3,2021
3180,Taylor Costa,D06,Lead,108058,22347,2,2022
3181,Skyler Park,D04,Principal,138086,6877,17,2007
3182,Casey Park,D06,Director,154663,5251,7,2017
3183,Reese Patel,D08,Lead,112610,10522,12,2012
3184,Rowan Park,D01,Mid,76632,12988,0,2024
3185,Finley Thompson,D01,Director,157513,3675,18,2006
3186,Sage O'Brien,D01,Mid,69656,4321,20,2004
3187,Reese Patel,D03,Director,157848,15110,23,2001
3188,Casey Chen,D08,Junior,61276,6323,12,2012
3189,Avery Thompson,D06,Principal,139542,9403,3,2021
3190,Riley Chen,D05,Lead,117512,23147,25,1999
3191,Skyler Ivanov,D02,Principal,149272,19515,23,2001
3192,Riley O'Brien,D08,Junior,63167,11657,15,2009
3193,Cameron Thompson,D05,Director,166909,1522,21,2003
3194,Casey Santos,D07,Junior,50632,11021,15,2009
3195,Morgan Li,D03,Director,190887,15758,15,2009
3196,Avery Tanaka,D03,Junior,61212,2361,7,2017
3197,Hayden Santos,D03,Director,152997,9846,11,2013
3198,Hayden Kumar,D07,Lead,125789,26892,3,2021
3199,Alex Nguyen,D06,Mid,80700,2581,0,2024
3200,Sage Rossi,D07,Principal,123677,16121,25,1999
3201,Casey Kim,D04,Director,148500,21447,5,2019
3202,Dakota Tanaka,D01,Principal,141122,1293,22,2002
3203,Morgan Patel,D03,Director,149134,24476,9,2015
3204,Avery Nguyen,D07,Principal,128610,16227,14,2010
3205,Cameron Park,D03,Senior,109042,8881,16,2008
3206,Hayden O'Brien,D02,Mid,86836,21582,24,2000
3207,Hayden Kim,D06,Director,186799,27350,24,2000
3208,Reese Li,D01,Mid,79659,1341,7,2017
3209,Rowan O'Brien,D04,Principal,155592,32045,22,2002
3210,Rowan Kim,D04,Lead,127371,9827,25,1999
3211,Dakota Ivanov,D01,Principal,125664,12377,7,2017
3212,Skyler Santos,D02,Mid,79007,1393,25,1999
3213,Jordan Kumar,D03,Mid,82458,19653,6,2018
3214,Reese Santos,D01,Senior,86054,9272,8,2016
3215,Avery Kim,D04,Lead,112412,23630,8,2016
3216,Jordan Costa,D06,Junior,46784,959,19,2005
3217,Avery Rossi,D03,Mid,77937,18847,19,2005
3218,Rowan Ivanov,D08,Principal,143942,9207,6,2018
3219,Avery Thompson,D07,Lead,134460,8768,15,2009
3220,Finley Tanaka,D03,Senior,92550,16893,17,2007
3221,Quinn Tanaka,D08,Principal,138189,29495,11,2013
3222,Quinn Li,D03,Senior,88382,1106,13,2011
3223,Rowan Muller,D02,Lead,109396,2638,14,2010
3224,Quinn Kumar,D01,Junior,57572,8401,21,2003
3225,Dakota Muller,D02,Junior,52833,6900,18,2006
3226,Morgan Kim,D05,Director,203472,29582,12,2012
3227,Quinn Chen,D02,Lead,109241,24295,17,2007
3228,Reese Nguyen,D03,Principal,150279,35097,6,2018
3229,Reese Johansson,D05,Mid,85463,16343,0,2024
3230,Dakota Costa,D05,Junior,47996,6370,20,2004
3231,Taylor Costa,D04,Senior,95111,6412,17,2007
3232,Morgan Rossi,D02,Senior,106598,13301,17,2007
3233,Taylor Costa,D03,Mid,85608,9273,11,2013
3234,Finley Santos,D03,Lead,121851,9770,19,2005
3235,Casey Thompson,D08,Senior,89124,2684,21,2003
3236,Morgan Chen,D05,Mid,84712,9402,12,2012
3237,Jordan Park,D05,Junior,46752,787,0,2024
3238,Casey Li,D07,Senior,105854,17417,3,2021
3239,Jordan Thompson,D02,Lead,120995,25296,21,2003
3240,Riley Kumar,D01,Senior,86330,1612,12,2012
3241,Reese Tanaka,D07,Principal,126582,6919,7,2017
3242,Casey Rossi,D02,Principal,136218,575,10,2014
3243,Rowan Kim,D01,Lead,121938,20649,5,2019
3244,Taylor Li,D02,Junior,54306,10929,23,2001
3245,Alex O'Brien,D07,Mid,89593,7830,10,2014
3246,Jordan Kim,D05,Mid,78718,7651,1,2023
3247,Casey Rossi,D06,Director,180032,451,1,2023
3248,Casey Costa,D05,Senior,91068,8516,3,2021
3249,Hayden Chen,D05,Mid,81670,4038,8,2016
3250,Alex Costa,D03,Principal,131089,9927,10,2014
3251,Casey Ivanov,D03,Principal,142365,13843,3,2021
3252,Avery Rossi,D07,Principal,144184,20623,3,2021
3253,Avery Costa,D07,Junior,48848,2782,21,2003
3254,Dakota Santos,D08,Principal,169248,17734,16,2008
3255,Alex Johansson,D01,Junior,59341,508,10,2014
3256,Riley Park,D04,Senior,99284,11331,1,2023
3257,Finley Rossi,D02,Director,199658,24224,7,2017
3258,Alex Ivanov,D07,Mid,81839,18603,4,2020
3259,Morgan Muller,D08,Director,190991,41849,8,2016
3260,Avery Costa,D05,Director,189963,26126,23,2001
3261,Rowan Nguyen,D04,Director,193063,22156,6,2018
3262,Taylor Costa,D02,Mid,82492,11059,14,2010
3263,Riley Johansson,D04,Principal,142128,16160,2,2022
3264,Finley Muller,D06,Junior,61095,6826,7,2017
3265,Taylor Nguyen,D08,Lead,118084,8125,17,2007
3266,Skyler Rossi,D02,Junior,60883,9115,10,2014
3267,Alex Kumar,D01,Senior,87670,11343,7,2017
3268,Finley Thompson,D05,Lead,127191,21070,5,2019
3269,Taylor Kumar,D04,Senior,109462,18093,9,2015
3270,Skyler Chen,D02,Mid,83881,16808,23,2001
3271,Jordan Park,D07,Lead,103056,21271,11,2013
3272,Dakota Rossi,D08,Mid,70705,5858,5,2019
3273,Hayden Patel,D07,Lead,107683,5346,20,2004
3274,Riley Rossi,D06,Lead,130861,29920,14,2010
3275,Skyler Muller,D06,Lead,109814,990,1,2023
3276,Taylor Kumar,D07,Junior,62125,1128,8,2016
3277,Cameron Li,D05,Mid,89976,6037,19,2005
3278,Quinn Costa,D02,Lead,126408,26592,9,2015
3279,Reese Thompson,D01,Mid,82097,19491,1,2023
3280,Riley Tanaka,D03,Junior,51554,6198,16,2008
3281,Riley Santos,D02,Junior,48610,3820,17,2007
3282,Cameron Li,D05,Director,154750,28119,3,2021
3283,Casey Patel,D01,Mid,84883,16585,25,1999
3284,Alex Kim,D06,Director,147159,8982,13,2011
3285,Jordan Li,D06,Lead,103062,2163,3,2021
3286,Reese Santos,D02,Lead,143259,29172,7,2017
3287,Riley Thompson,D03,Principal,168363,12444,7,2017
3288,Morgan Rossi,D08,Principal,156851,1034,20,2004
3289,Quinn Kim,D04,Mid,72814,7863,22,2002
3290,Reese Rossi,D01,Principal,171744,3885,5,2019
3291,Riley Muller,D05,Director,178973,29775,0,2024
3292,Avery Kim,D01,Director,156078,26385,11,2013
3293,Skyler Ivanov,D04,Lead,138270,16455,16,2008
3294,Cameron Santos,D08,Senior,99593,10924,10,2014
3295,Hayden Tanaka,D04,Senior,113092,20880,1,2023
3296,Finley Muller,D07,Lead,102362,3233,7,2017
3297,Finley Tanaka,D08,Principal,166887,15318,12,2012
3298,Sage Li,D06,Mid,68851,2501,25,1999
3299,Rowan Ivanov,D03,Lead,138503,27846,17,2007
3300,Rowan Thompson,D02,Principal,126345,18955,12,2012
3301,Casey Johansson,D02,Principal,132128,2308,17,2007
3302,Casey Park,D05,Senior,93329,21882,6,2018
3303,Skyler Li,D04,Principal,167383,39159,11,2013
3304,Sage Johansson,D03,Principal,129571,13310,25,1999
3305,Cameron Johansson,D05,Mid,63794,5276,1,2023
3306,Reese O'Brien,D04,Junior,52426,6905,18,2006
3307,Sage Costa,D02,Lead,135719,18867,3,2021
3308,Casey Li,D02,Mid,81687,1785,2,2022
3309,Finley Park,D05,Principal,172015,12155,16,2008
3310,Morgan Muller,D06,Lead,110403,4029,24,2000
3311,Riley Ivanov,D04,Senior,95429,22744,20,2004
3312,Cameron Muller,D04,Principal,147749,33612,1,2023
3313,Riley Costa,D02,Lead,133710,30576,20,2004
3314,Cameron Kumar,D02,Mid,75800,13038,17,2007
3315,Quinn Nguyen,D04,Lead,105870,3745,3,2021
3316,Hayden Tanaka,D05,Director,162512,25184,1,2023
3317,Casey O'Brien,D06,Lead,142580,23261,20,2004
3318,Hayden Kim,D05,Principal,145256,33030,21,2003
3319,Dakota Muller,D03,Mid,76657,14000,17,2007
3320,Alex Muller,D07,Junior,56261,2783,23,2001
3321,Quinn Park,D01,Junior,62808,12997,14,2010
3322,Taylor Li,D08,Director,202934,3204,3,2021
3323,Sage Tanaka,D05,Senior,116047,22466,10,2014
3324,Dakota Park,D07,Lead,115115,1156,1,2023
3325,Casey Santos,D02,Director,172390,25053,17,2007
3326,Finley Kim,D01,Principal,159531,24526,7,2017
3327,Casey Chen,D06,Senior,97122,2830,21,2003
3328,Sage Rossi,D03,Junior,62527,1174,19,2005
3329,Rowan Kumar,D05,Senior,119906,19984,6,2018
3330,Casey O'Brien,D07,Senior,91498,1642,20,2004
3331,Sage Thompson,D01,Lead,104326,14253,9,2015
3332,Taylor Costa,D02,Director,158343,28660,3,2021
3333,Reese Rossi,D06,Mid,73059,3647,16,2008
3334,Casey Park,D05,Director,154800,38045,5,2019
3335,Finley Kim,D01,Director,186967,40375,6,2018
3336,Avery Kim,D01,Senior,95895,19846,1,2023
3337,Morgan O'Brien,D08,Senior,119583,13027,1,2023
3338,Alex Costa,D01,Lead,140888,2544,11,2013
3339,Alex Kim,D01,Principal,158027,6882,7,2017
3340,Rowan Thompson,D01,Senior,107153,16375,2,2022
3341,Rowan O'Brien,D07,Mid,72037,12092,6,2018
3342,Jordan Kumar,D02,Lead,140993,28390,21,2003
3343,Taylor Tanaka,D05,Mid,80033,6969,7,2017
3344,Quinn Ivanov,D07,Principal,166753,26477,17,2007
3345,Rowan Chen,D02,Director,203506,11981,22,2002
3346,Cameron Li,D01,Junior,64815,12411,5,2019
3347,Rowan Nguyen,D02,Senior,106858,3840,5,2019
3348,Cameron O'Brien,D08,Mid,75332,5700,18,2006
3349,Finley Johansson,D01,Senior,108005,19336,24,2000
3350,Quinn Patel,D03,Lead,138999,15693,15,2009
3351,Rowan Nguyen,D06,Lead,136084,16141,1,2023
3352,Avery Park,D04,Mid,80350,10784,5,2019
3353,Quinn Tanaka,D08,Principal,133119,31916,19,2005
3354,Finley Chen,D02,Director,148271,23641,12,2012
3355,Dakota Park,D02,Principal,159501,3981,2,2022
3356,Alex Rossi,D02,Principal,168244,13198,21,2003
3357,Dakota Ivanov,D08,Senior,114573,20828,24,2000
3358,Casey Rossi,D02,Lead,102788,24140,6,2018
3359,Alex Kumar,D02,Junior,47346,6395,12,2012
3360,Hayden Park,D07,Mid,88481,14309,9,2015
3361,Avery Patel,D01,Junior,64357,4997,6,2018
3362,Cameron Santos,D06,Senior,90310,461,16,2008
3363,Riley Santos,D04,Senior,104371,4455,16,2008
3364,Skyler Chen,D06,Principal,154065,18450,25,1999
3365,Jordan Kumar,D08,Mid,75748,2122,22,2002
3366,Dakota Kumar,D08,Director,186674,31993,12,2012
3367,Riley Rossi,D02,Senior,92977,18683,5,2019
3368,Dakota Rossi,D04,Senior,98504,13143,20,2004
3369,Dakota Chen,D04,Lead,135655,26616,10,2014
3370,Riley Patel,D08,Lead,136648,12855,10,2014
3371,Finley Johansson,D07,Senior,105621,1113,12,2012
3372,Rowan Tanaka,D06,Lead,139121,25587,18,2006
3373,Avery Kumar,D04,Director,166447,786,7,2017
3374,Rowan Tanaka,D07,Lead,140122,17090,12,2012
3375,Casey Chen,D06,Mid,77013,9422,7,2017
3376,Quinn Ivanov,D07,Mid,68437,8688,19,2005
3377,Skyler Santos,D05,Lead,126173,27356,0,2024
3378,Skyler Patel,D08,Lead,110594,6642,13,2011
3379,Sage Tanaka,D02,Director,151017,37331,4,2020
3380,Taylor O'Brien,D05,Junior,60509,5126,23,2001
3381,Sage Thompson,D05,Mid,84367,8616,23,2001
3382,Quinn Thompson,D03,Principal,143995,27832,3,2021
3383,Rowan Li,D04,Senior,105286,20952,14,2010
3384,Riley Li,D01,Mid,73369,18124,12,2012
3385,Dakota Santos,D04,Principal,140124,23415,22,2002
3386,Skyler Costa,D03,Junior,49771,1344,0,2024
3387,Casey Ivanov,D03,Senior,115084,3500,19,2005
3388,Cameron Thompson,D06,Director,153135,19891,21,2003
3389,Riley Li,D02,Lead,129079,8168,16,2008
3390,Cameron Ivanov,D05,Junior,52205,6657,3,2021
3391,Sage O'Brien,D03,Lead,116369,15538,0,2024
3392,Jordan Santos,D01,Director,191376,37764,18,2006
3393,Morgan Tanaka,D05,Director,164193,3523,10,2014
3394,Skyler O'Brien,D03,Junior,58729,9417,16,2008
3395,Cameron Kim,D03,Director,180206,26549,13,2011
3396,Sage Costa,D04,Principal,141212,33999,5,2019
3397,Quinn Patel,D05,Director,164205,22446,20,2004
3398,Riley Kumar,D06,Senior,105638,1197,13,2011
3399,Finley Li,D06,Mid,64551,508,23,2001
3400,Rowan Rossi,D01,Senior,102872,8550,25,1999
