walk_in_id,event_code,guest_name,registration_type,fee_paid
90351,8002,Taylor Nguyen,Standard,195
90352,8002,Avery Park,VIP,404
90353,8017,Rowan Park,Standard,185
90354,8017,Finley Kumar,Standard,182
90355,8017,Reese Wilson,Standard,171
90356,8005,Riley Wilson,VIP,395
90357,8006,Skyler Thompson,VIP,396
90358,8013,Taylor Patel,VIP,407
90359,8010,Finley Li,Student,113
90360,8014,Sage Park,Standard,172
90361,8012,Dakota Santos,Student,120
90362,8006,Dakota Park,VIP,397
90363,8012,Alex Li,Student,118
90364,8013,Riley Chen,Student,99
90365,8011,Taylor Kim,Standard,193
90366,8001,Sage Patel,VIP,411
90367,8013,Dakota Wilson,VIP,417
90368,8018,Casey Chen,Standard,192
90369,8018,Taylor Santos,Student,102
90370,8005,Skyler Patel,VIP,413
90371,8009,Hayden Patel,Standard,192
90372,8008,Avery Nguyen,Student,107
90373,8006,Reese Li,Standard,176
90374,8019,Casey Kim,Student,104
90375,8002,Dakota Li,VIP,404
90376,8012,Finley Santos,Student,103
90377,8013,Reese Santos,Standard,173
90378,8001,Alex Wilson,Standard,178
90379,8002,Hayden Park,Student,112
90380,8005,Morgan Kumar,VIP,406
90381,8017,Avery Nguyen,Student,117
90382,8008,Finley Kim,Standard,173
90383,8011,Quinn Patel,Standard,175
90384,8007,Hayden Chen,VIP,398
90385,8007,Avery Kumar,VIP,397
90386,8006,Quinn Santos,VIP,420
90387,8006,Finley Li,Student,103
90388,8007,Hayden Li,VIP,411
90389,8001,Sage Kim,Standard,182
90390,8016,Jordan Patel,VIP,415
90391,8009,Finley Santos,Standard,189
90392,8014,Sage Kumar,Standard,172
90393,8012,Riley Santos,Student,112
90394,8004,Taylor Santos,Student,116
90395,8007,Jordan Kim,Student,102
90396,8012,Quinn Kim,Student,101
90397,8016,Quinn Patel,VIP,418
90398,8003,Finley Park,Student,98
90399,8007,Jordan Patel,VIP,406
90400,8017,Cameron Thompson,Standard,181
99001,9900,Sage Nguyen,Standard,175
99002,9901,Taylor Wilson,Standard,175
99003,9902,Quinn Nguyen,Standard,175
99004,9903,Jordan Patel,Standard,175
99005,9904,Dakota Patel,Standard,175
99006,9905,Jordan Li,Standard,175
99007,9906,Hayden Li,Standard,175
99008,9907,Alex Park,Standard,175
99009,9908,Alex Patel,Standard,175
99010,9909,Rowan Kim,Standard,175
99011,9910,Skyler Li,Standard,175
99012,9911,Jordan Park,Standard,175
99013,9912,Quinn Park,Standard,175
99014,9913,Skyler Patel,Standard,175
99015,9914,Sage Wilson,Standard,175
99016,9915,Skyler Park,Standard,175
99017,9916,Sage Park,Standard,175
99018,9917,Alex Thompson,Standard,175
99019,9918,Dakota Li,Standard,175
99020,9919,Riley Kumar,Standard,175
